District,Year,Public,Private,C-Section Share of Institutional Deliveries,Public Facilities,Private Facilities
Kolhapur,2009,1749,3783,9.6,7.4,11.2
Latur,2009,321,472,1.8,2,1.7
Mumbai,2009,21513,,37.7,41.5,0
Nagpur,2009,978,275,3.5,2.8,33.7
Nanded,2009,1660,1969,5.8,6,5.7
Nandurbar,2009,80,126,1.3,0.7,2.5
Nashik,2009,2560,1833,5.6,4.5,8.6
Palghar,2009,,,,,
Parbhani,2009,861,152,4.6,7.2,1.5
Pune,2009,5753,6559,11.6,9.3,14.9
Raigad,2009,1336,3323,15.9,15.2,16.3
Ratnagiri,2009,680,2228,15.3,10.9,17.5
Sangli,2009,549,2721,12.8,5.1,18.4
Satara,2009,843,7104,15.9,4.2,23.6
Sindhudurg,2009,889,700,16.3,12.9,24.5
Solapur,2009,3960,2598,10.4,11.8,8.8
Thane,2009,2463,7921,13.3,4.6,33
Wardha,2009,653,1203,9.2,3.9,35.7
Washim,2009,,1311,6.7,0,27.5
Yavatmal,2009,982,126,11.9,10.6,103.3
Ahilyanagar,2008,1068,3881,22.2,6.2,75.7
Akola,2008,154,695,3.6,1.8,4.6
Amravati,2008,96,2202,6.8,1,9.3
Beed,2008,667,215,2.8,3.9,1.5
Bhandara,2008,1591,255,16.3,15.4,26
Buldhana,2008,508,1119,5.1,4.6,5.5
Chandrapur,2008,1739,3098,16.5,11.3,22.2
Chh. Sambhaji Nagar,2008,383,1067,8.7,6.3,10.1
Dharashiv,2008,809,450,5,6.2,3.8
Dhule,2008,374,354,3.6,3,4.8
Gadchiroli,2008,1007,238,12.8,12.1,17
Gondia,2008,1085,269,13.1,12.3,17.7
Hingoli,2008,108,383,3.1,1.5,4.3
Jalgaon,2008,2217,1542,6.4,10.3,4.2
Jalna,2008,273,760,3.3,2,4.4
Kolhapur,2008,2911,5144,13.4,18.9,11.5
Latur,2008,636,263,2.2,4.6,1
Mumbai,2008,,16357,9.3,,9.3
Nagpur,2008,67,1010,3.1,0.2,37.9
Nanded,2008,1405,2549,7,8,6.6
Nandurbar,2008,133,64,1.4,1.3,1.8
Nashik,2008,3384,1337,6,10.8,2.9
Palghar,2008,,,,,
Parbhani,2008,1046,138,9.3,9.5,7.9
Pune,2008,7273,5089,8.5,24.8,4.4
Raigad,2008,1133,2028,11.5,9,13.5
Ratnagiri,2008,689,2104,12.8,13.2,12.7
Sangli,2008,1529,3337,9.9,14.2,8.7
Satara,2008,776,6088,13.3,7.1,14.9
Sindhudurg,2008,580,547,10.6,12.4,9.1
Solapur,2008,2039,2309,6.9,12.5,4.9
Thane,2008,4072,9391,7.7,10.6,6.9
Wardha,2008,540,851,7.2,6,8.1
Washim,2008,383,1067,8.7,6.3,10.1
Yavatmal,2008,431,845,3.3,3.6,3.2
