Year,District,Taluka,Length of roads per 100 sq.km
2017,Beed,Patoda,84.61
2017,Beed,Shirur Kasar,103.21
2017,Beed,Gevrai,89.23
2017,Beed,Majalgaon,150.44
2017,Beed,Wadwani,123.13
2017,Beed,Beed,146.88
2017,Beed,Cage,124.66
2017,Beed,Dharur,133.32
2017,Beed,Parli,140.8
2017,Beed,Ambajogai,140.88
2018,Beed,Ashti,118.98
2018,Beed,Patoda,136.2
2018,Beed,Shirur Kasar,144.65
2018,Beed,Gevrai,133.44
2018,Beed,Majalgaon,118.45
2018,Beed,Wadwani,126.49
2018,Beed,Beed,149.84
2018,Beed,Cage,154.84
2018,Beed,Dharur,136.49
2018,Beed,Parli,153.58
2018,Beed,Ambajogai,138.21
2019,Beed,Ashti,141.52
2019,Beed,Patoda,79.39
2019,Beed,Shirur Kasar,172.56
2019,Beed,Gevrai,133.14
2019,Beed,Majalgaon,176.23
2019,Beed,Wadwani,898.1
2019,Beed,Beed,204.09
2019,Beed,Cage,123.76
2019,Beed,Dharur,114.91
2019,Beed,Parli,161.67
2019,Beed,Ambajogai,152.17
2020,Beed,Ashti,114.95
2020,Beed,Patoda,79.39
2020,Beed,Shirur Kasar,172.56
2020,Beed,Gevrai,101.68
2020,Beed,Majalgaon,170.3
2020,Beed,Wadwani,433.29
2020,Beed,Beed,163.6
2020,Beed,Cage,123.5
2020,Beed,Dharur,119.13
2020,Beed,Parli,161.8
2020,Beed,Ambajogai,84.98
2021,Beed,Ashti,114.8
2021,Beed,Patoda,80.34
2021,Beed,Shirur Kasar,172.24
2021,Beed,Gevrai,101.61
2021,Beed,Majalgaon,168.92
2021,Beed,Wadwani,433.29
2021,Beed,Beed,163.61
2021,Beed,Cage,123.59
2021,Beed,Dharur,119.13
2021,Beed,Parli,166.31
2021,Beed,Ambajogai,86.96
2012,Bhandara,Tumsar,110.88
2012,Bhandara,Mohadi,98.03
2012,Bhandara,Bhandara,151.31
2012,Bhandara,Sakoli,83.12
2012,Bhandara,Lakhani,0.0
2012,Bhandara,Pavani,105.93
2012,Bhandara,Lakhandur,120.02
2013,Bhandara,Tumsar,150.52
2013,Bhandara,Mohadi,140.47
2013,Bhandara,Bhandara,218.53
2013,Bhandara,Sakoli,123.37
2013,Bhandara,Lakhani,0.0
2013,Bhandara,Pavani,154.75
2013,Bhandara,Lakhandur,126.22
2014,Bhandara,Tumsar,144.22
2014,Bhandara,Mohadi,164.63
2014,Bhandara,Bhandara,181.16
2014,Bhandara,Sakoli,140.65
2014,Bhandara,Lakhani,227.98
2014,Bhandara,Pavani,145.2
2014,Bhandara,Lakhandur,136.57
2015,Bhandara,Tumsar,146.76
2015,Bhandara,Mohadi,165.66
2015,Bhandara,Bhandara,185.22
2015,Bhandara,Sakoli,141.83
2015,Bhandara,Lakhani,229.26
2015,Bhandara,Pavani,148.55
2015,Bhandara,Lakhandur,136.81
2016,Bhandara,Tumsar,152.52
2016,Bhandara,Mohadi,142.52
2016,Bhandara,Bhandara,189.32
2016,Bhandara,Sakoli,146.62
2016,Bhandara,Lakhani,228.03
2016,Bhandara,Pavani,144.7
2016,Bhandara,Lakhandur,135.38
2017,Bhandara,Tumsar,153.3
2017,Bhandara,Mohadi,142.52
2017,Bhandara,Bhandara,189.32
2017,Bhandara,Sakoli,146.62
2017,Bhandara,Lakhani,228.03
2017,Bhandara,Pavani,144.7
2017,Bhandara,Lakhandur,136.04
2018,Bhandara,Tumsar,153.3
2018,Bhandara,Mohadi,142.52
2018,Bhandara,Bhandara,189.32
2018,Bhandara,Sakoli,146.62
2018,Bhandara,Lakhani,228.03
2018,Bhandara,Pavani,144.7
2018,Bhandara,Lakhandur,136.34
2019,Bhandara,Tumsar,153.3
2019,Bhandara,Mohadi,142.65
2019,Bhandara,Bhandara,189.32
2019,Bhandara,Sakoli,146.62
2019,Bhandara,Lakhani,228.03
2019,Bhandara,Pavani,145.11
2019,Bhandara,Lakhandur,136.38
2020,Bhandara,Tumsar,153.31
2020,Bhandara,Mohadi,142.66
2020,Bhandara,Bhandara,189.45
2020,Bhandara,Sakoli,146.64
2020,Bhandara,Lakhani,228.03
2020,Bhandara,Pavani,145.11
2020,Bhandara,Lakhandur,136.32
2021,Bhandara,Tumsar,161.72
2021,Bhandara,Mohadi,222.71
2021,Bhandara,Bhandara,142.71
2021,Bhandara,Sakoli,111.97
2021,Bhandara,Lakhani,243.5
2021,Bhandara,Pavani,158.81
2021,Bhandara,Lakhandur,156.13
2013,Buldhana,Jalgaon Jamod,74.44
2013,Buldhana,Sangrampur,98.26
2013,Buldhana,Shegaon,101.97
2013,Buldhana,Nandura,105.07
2013,Buldhana,Malkapur,97.07
2013,Buldhana,Motala,81.97
2013,Buldhana,Khamgaon,64.18
2013,Buldhana,Mehkar,84.81
2013,Buldhana,Chikhali,71.28
2013,Buldhana,Buldhana,71.8
2013,Buldhana,Deulgaon Raja,88.75
2013,Buldhana,Sindkhed Raja,89.15
2013,Buldhana,Lonar,88.03
2014,Buldhana,Jalgaon Jamod,71.32
2014,Buldhana,Sangrampur,95.64
2014,Buldhana,Shegaon,100.77
2014,Buldhana,Nandura,100.58
2014,Buldhana,Malkapur,91.83
2014,Buldhana,Motala,77.46
2014,Buldhana,Khamgaon,63.31
2014,Buldhana,Mehkar,81.14
2014,Buldhana,Chikhali,69.92
2014,Buldhana,Buldhana,72.66
2014,Buldhana,Deulgaon Raja,89.06
2014,Buldhana,Sindkhed Raja,89.94
2014,Buldhana,Lonar,87.78
2015,Buldhana,Jalgaon Jamod,77.12
2015,Buldhana,Sangrampur,83.22
2015,Buldhana,Shegaon,100.5
2015,Buldhana,Nandura,103.71
2015,Buldhana,Malkapur,99.18
2015,Buldhana,Motala,78.11
2015,Buldhana,Khamgaon,66.37
2015,Buldhana,Mehkar,82.95
2015,Buldhana,Chikhali,69.89
2015,Buldhana,Buldhana,75.33
2015,Buldhana,Deulgaon Raja,87.07
2015,Buldhana,Sindkhed Raja,90.79
2015,Buldhana,Lonar,85.31
2016,Buldhana,Jalgaon Jamod,77.12
2016,Buldhana,Sangrampur,83.22
2016,Buldhana,Shegaon,100.5
2016,Buldhana,Nandura,103.7
2016,Buldhana,Malkapur,99.18
2016,Buldhana,Motala,78.11
2016,Buldhana,Khamgaon,66.37
2016,Buldhana,Mehkar,82.95
2016,Buldhana,Chikhali,69.89
2016,Buldhana,Buldhana,75.59
2016,Buldhana,Deulgaon Raja,87.07
2016,Buldhana,Sindkhed Raja,90.79
2016,Buldhana,Lonar,85.31
2017,Buldhana,Jalgaon Jamod,88.86
2017,Buldhana,Sangrampur,104.38
2017,Buldhana,Shegaon,127.72
2017,Buldhana,Nandura,121.73
