District,Year,Items,Units
Chandrapur,2021,Sustainable cow's milk,739.61
Dhule,2012,Milk Powder,
Dhule,2012,White butter,
Dhule,2012,Ghee,
Dhule,2012,Energy Milk,
Dhule,2012,Lassi,
Dhule,2012,Masala Milk,
Dhule,2012,Sustainable cow's milk,
Dhule,2013,Milk Powder,
Dhule,2013,White butter,
Dhule,2013,Ghee,
Dhule,2013,Energy Milk,
Dhule,2013,Lassi,
Dhule,2013,Masala Milk,
Dhule,2013,Sustainable cow's milk,
Dhule,2014,Milk Powder,
Dhule,2014,White butter,
Dhule,2014,Ghee,
Dhule,2014,Energy Milk,
Dhule,2014,Lassi,
Dhule,2014,Masala Milk,
Dhule,2014,Sustainable cow's milk,
Dhule,2015,Milk Powder,
Dhule,2015,White butter,
Dhule,2015,Ghee,
Dhule,2015,Energy Milk,
Dhule,2015,Lassi,
Dhule,2015,Masala Milk,
Dhule,2015,Sustainable cow's milk,
Dhule,2016,Milk Powder,
Dhule,2016,White butter,
Dhule,2016,Ghee,
Dhule,2016,Energy Milk,
Dhule,2016,Lassi,
Dhule,2016,Masala Milk,
Dhule,2016,Sustainable cow's milk,
Dhule,2017,Milk Powder,
Dhule,2017,White butter,
Dhule,2017,Ghee,
Dhule,2017,Energy Milk,
Dhule,2017,Lassi,
Dhule,2017,Masala Milk,
Dhule,2017,Sustainable cow's milk,
Dhule,2018,Milk Powder,
Dhule,2018,White butter,
Dhule,2018,Ghee,
Dhule,2018,Energy Milk,
Dhule,2018,Lassi,
Dhule,2018,Masala Milk,
Dhule,2018,Sustainable cow's milk,
Dhule,2019,Milk Powder,
Dhule,2019,White butter,
Dhule,2019,Ghee,
Dhule,2019,Energy Milk,
Dhule,2019,Lassi,
Dhule,2019,Masala Milk,
Dhule,2019,Sustainable cow's milk,
Dhule,2020,Milk Powder,
Dhule,2020,White butter,
Dhule,2020,Ghee,
Dhule,2020,Energy Milk,
Dhule,2020,Lassi,
Dhule,2020,Masala Milk,
Dhule,2020,Sustainable cow's milk,
Dhule,2021,Milk Powder,
Dhule,2021,White butter,
Dhule,2021,Ghee,
Dhule,2021,Energy Milk,
Dhule,2021,Lassi,
Dhule,2021,Masala Milk,
Dhule,2021,Sustainable cow's milk,
Gadchiroli,2012,Milk Powder,
Gadchiroli,2012,White butter,
Gadchiroli,2012,Ghee,
Gadchiroli,2012,Energy Milk,
Gadchiroli,2012,Lassi,
Gadchiroli,2012,Masala Milk,
Gadchiroli,2012,Sustainable cow's milk,
Gadchiroli,2013,Milk Powder,
Gadchiroli,2013,White butter,
Gadchiroli,2013,Ghee,
Gadchiroli,2013,Energy Milk,
Gadchiroli,2013,Lassi,
Gadchiroli,2013,Masala Milk,
Gadchiroli,2013,Sustainable cow's milk,
Gadchiroli,2014,Milk Powder,
Gadchiroli,2014,White butter,
Gadchiroli,2014,Ghee,
Gadchiroli,2014,Energy Milk,
Gadchiroli,2014,Lassi,
Gadchiroli,2014,Masala Milk,
Gadchiroli,2014,Sustainable cow's milk,
Gadchiroli,2015,Milk Powder,
Gadchiroli,2015,White butter,
Gadchiroli,2015,Ghee,
Gadchiroli,2015,Energy Milk,
Gadchiroli,2015,Lassi,
Gadchiroli,2015,Masala Milk,
Gadchiroli,2015,Sustainable cow's milk,
Gadchiroli,2016,Milk Powder,
Gadchiroli,2016,White butter,
Gadchiroli,2016,Ghee,
Gadchiroli,2016,Energy Milk,
Gadchiroli,2016,Lassi,
Gadchiroli,2016,Masala Milk,
Gadchiroli,2016,Sustainable cow's milk,
Gadchiroli,2017,Milk Powder,
Gadchiroli,2017,White butter,
