Year,District,Rural/Urban,Type of School,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2018,Amravati,Rural,Higher Secondary School (I-XII),,109.0,4.0,8.0,13.0
2018,Amravati,Urban,Primary School (I-V),,59.0,86.0,0.0,76.0
2018,Amravati,Urban,Upper Primary School (I-VIII),,47.0,62.0,4.0,49.0
2018,Amravati,Urban,Secondary School (VI-X),,12.0,4.0,1.0,8.0
2018,Amravati,Urban,Secondary School (I-X),,60.0,11.0,0.0,40.0
2018,Amravati,Urban,Higher Secondary School (I-XII),,61.0,6.0,2.0,11.0
2019,Amravati,Rural,Primary School (I-V),,31.0,900.0,2.0,76.0
2019,Amravati,Rural,Upper Primary School (I-VIII),,31.0,656.0,3.0,34.0
2019,Amravati,Rural,Secondary School (VI-X),,122.0,4.0,6.0,11.0
2019,Amravati,Rural,Secondary School (I-X),,139.0,7.0,8.0,30.0
2019,Amravati,Rural,Higher Secondary School (I-XII),,109.0,4.0,9.0,16.0
2019,Amravati,Urban,Primary School (I-V),,58.0,84.0,0.0,75.0
2019,Amravati,Urban,Upper Primary School (I-VIII),,48.0,62.0,2.0,43.0
2019,Amravati,Urban,Secondary School (VI-X),,13.0,4.0,1.0,8.0
2019,Amravati,Urban,Secondary School (I-X),,61.0,11.0,0.0,47.0
2019,Amravati,Urban,Higher Secondary School (I-XII),,61.0,6.0,1.0,12.0
2020,Amravati,Rural,Primary School (I-V),,30.0,898.0,1.0,77.0
2020,Amravati,Rural,Upper Primary School (I-VIII),,30.0,658.0,2.0,33.0
2020,Amravati,Rural,Secondary School (VI-X),,123.0,4.0,6.0,10.0
2020,Amravati,Rural,Secondary School (I-X),,139.0,7.0,9.0,32.0
2020,Amravati,Rural,Higher Secondary School (I-XII),,109.0,4.0,9.0,16.0
2020,Amravati,Urban,Primary School (I-V),,58.0,85.0,0.0,70.0
2020,Amravati,Urban,Upper Primary School (I-VIII),,47.0,61.0,2.0,46.0
2020,Amravati,Urban,Secondary School (VI-X),,14.0,4.0,1.0,7.0
2020,Amravati,Urban,Secondary School (I-X),,61.0,11.0,1.0,50.0
2020,Amravati,Urban,Higher Secondary School (I-XII),,61.0,6.0,1.0,13.0
2021,Amravati,Rural,Primary School (I-V),,28.0,891.0,1.0,65.0
2021,Amravati,Rural,Upper Primary School (I-VIII),,26.0,651.0,2.0,26.0
2021,Amravati,Rural,Secondary School (VI-X),,118.0,4.0,6.0,10.0
2021,Amravati,Rural,Secondary School (I-X),,136.0,7.0,9.0,30.0
2021,Amravati,Rural,Higher Secondary School (I-XII),,103.0,4.0,8.0,14.0
2021,Amravati,Urban,Primary School (I-V),,59.0,90.0,0.0,72.0
2021,Amravati,Urban,Upper Primary School (I-VIII),,49.0,66.0,1.0,45.0
2021,Amravati,Urban,Secondary School (VI-X),,20.0,4.0,2.0,7.0
2021,Amravati,Urban,Secondary School (I-X),,65.0,11.0,1.0,59.0
2021,Amravati,Urban,Higher Secondary School (I-XII),,65.0,6.0,0.0,14.0
2012,Beed,Rural,Primary School (I-V),,18.0,1680.0,28.0,55.0
