Year,District,Select School Management Type,Social Category,Female,Male
2012,Nandurbar,Local body,ST,227.0,986.0
2012,Nandurbar,Local body,ORC,,
2012,Nandurbar,Local body,Others,,
2012,Nandurbar,Others,General,24.0,168.0
2012,Nandurbar,Others,OBC,71.0,398.0
2012,Nandurbar,Others,SC,26.0,117.0
2012,Nandurbar,Others,ST,92.0,269.0
2012,Nandurbar,Others,ORC,,
2012,Nandurbar,Others,Others,,14.0
2012,Nashik,Government Aided,General,2537.0,3888.0
2012,Nashik,Government Aided,OBC,1407.0,2638.0
2012,Nashik,Government Aided,SC,378.0,690.0
2012,Nashik,Government Aided,ST,374.0,842.0
2012,Nashik,Government Aided,ORC,7.0,25.0
2012,Nashik,Government Aided,Others,94.0,158.0
2012,Nashik,Private Unaided,General,1811.0,579.0
2012,Nashik,Private Unaided,OBC,651.0,430.0
2012,Nashik,Private Unaided,SC,155.0,97.0
2012,Nashik,Private Unaided,ST,93.0,88.0
2012,Nashik,Private Unaided,ORC,8.0,5.0
2012,Nashik,Private Unaided,Others,102.0,37.0
2012,Nashik,Local body,General,1780.0,2323.0
2012,Nashik,Local body,OBC,1516.0,2217.0
2012,Nashik,Local body,SC,374.0,632.0
2012,Nashik,Local body,ST,528.0,2002.0
2012,Nashik,Local body,ORC,5.0,7.0
2012,Nashik,Local body,Others,96.0,112.0
2012,Nashik,Others,General,678.0,667.0
2012,Nashik,Others,OBC,504.0,745.0
2012,Nashik,Others,SC,135.0,212.0
2012,Nashik,Others,ST,173.0,490.0
2012,Nashik,Others,ORC,,1.0
2012,Nashik,Others,Others,18.0,58.0
2012,Parbhani,Government Aided,General,621.0,1364.0
2012,Parbhani,Government Aided,OBC,242.0,1004.0
2012,Parbhani,Government Aided,SC,84.0,390.0
2012,Parbhani,Government Aided,ST,50.0,142.0
2012,Parbhani,Government Aided,ORC,21.0,69.0
2012,Parbhani,Government Aided,Others,20.0,94.0
2012,Parbhani,Private Unaided,General,446.0,666.0
2012,Parbhani,Private Unaided,OBC,198.0,365.0
2012,Parbhani,Private Unaided,SC,64.0,131.0
2012,Parbhani,Private Unaided,ST,23.0,46.0
2012,Parbhani,Private Unaided,ORC,,7.0
