District,Year,Type of Court,Regular,Miscellaneous,All Appeal Cases
Buldhana,2017,"Family Court
",,,
Buldhana,2017,Industrial Court,18.0,15.0,33.0
Buldhana,2017,Labor Court,,,
Buldhana,2017,Public Court,,,
Buldhana,2018,Civil Court,97.0,491.0,588.0
Buldhana,2018,Consumer Forum,,,
Buldhana,2018,Criminal Court,72.0,348.0,42.0
Buldhana,2018,District Magistrate And Executive Magistrate,,,
Buldhana,2018,"Family Court
",,,
Buldhana,2018,Industrial Court,2.0,,2.0
Buldhana,2018,Labor Court,,,
Buldhana,2018,Public Court,,,
Buldhana,2019,Civil Court,1185.0,487.0,655.0
Buldhana,2019,Consumer Forum,,,
Buldhana,2019,Criminal Court,576.0,3755.0,4331.0
Buldhana,2019,District Magistrate And Executive Magistrate,,,
Buldhana,2019,"Family Court
",,,
Buldhana,2019,Industrial Court,39.0,,39.0
Buldhana,2019,Labor Court,,,
Buldhana,2019,Public Court,,,
Buldhana,2020,Civil Court,1287.0,5136.0,6423.0
Buldhana,2020,Consumer Forum,,,
Buldhana,2020,Criminal Court,764.0,49.0,4773.0
Buldhana,2020,District Magistrate And Executive Magistrate,,,
Buldhana,2020,"Family Court
",,,
Buldhana,2020,Industrial Court,14.0,1.0,15.0
Buldhana,2020,Labor Court,,,
Buldhana,2020,Public Court,,,
Buldhana,2021,Civil Court,1282.0,5174.0,6456.0
Buldhana,2021,Consumer Forum,,,
Buldhana,2021,Criminal Court,938.0,3963.0,491.0
Buldhana,2021,District Magistrate And Executive Magistrate,,,
Buldhana,2021,"Family Court
",,,
Buldhana,2021,Industrial Court,7.0,,7.0
Buldhana,2021,Labor Court,,,
Buldhana,2021,Public Court,,,
Chandrapur,2006,Civil Court,555.0,224.0,779.0
Chandrapur,2006,Consumer Forum,,,
Chandrapur,2006,Criminal Court,77.0,262.0,339.0
Chandrapur,2006,District Magistrate And Executive Magistrate,,,
Chandrapur,2006,Family Court,,,
Chandrapur,2006,Industrial Court,111.0,,111.0
Chandrapur,2006,Labor Court,,,
Chandrapur,2006,Public Court,,,
Chandrapur,2008,Civil Court,278.0,179.0,457.0
Chandrapur,2008,Consumer Forum,,,
Chandrapur,2008,Criminal Court,1233.0,132.0,1365.0
Chandrapur,2008,District Magistrate And Executive Magistrate,,,
Chandrapur,2008,Family Court,,,
Chandrapur,2008,Industrial Court,4.0,,4.0
Chandrapur,2008,Labor Court,,,
Chandrapur,2008,Public Court,,,
Chandrapur,2009,Civil Court,341.0,42.0,743.0
Chandrapur,2009,Consumer Forum,,,
Chandrapur,2009,Criminal Court,245.0,999.0,1244.0
Chandrapur,2009,District Magistrate And Executive Magistrate,,,
Chandrapur,2009,Family Court,,,
Chandrapur,2009,Industrial Court,6.0,,6.0
Chandrapur,2009,Labor Court,,,
Chandrapur,2009,Public Court,7.0,,7.0
Chandrapur,2010,Civil Court,582.0,236.0,818.0
Chandrapur,2010,Consumer Forum,,,
Chandrapur,2010,Criminal Court,311.0,12.0,1313.0
Chandrapur,2010,District Magistrate And Executive Magistrate,,,
Chandrapur,2010,Family Court,,,
Chandrapur,2010,Industrial Court,87.0,,87.0
Chandrapur,2010,Labor Court,,,
Chandrapur,2010,Public Court,16.0,,16.0
Chandrapur,2011,Civil Court,326.0,,326.0
Chandrapur,2011,Consumer Forum,,,
Chandrapur,2011,Criminal Court,1113.0,,1113.0
Chandrapur,2011,District Magistrate And Executive Magistrate,,,
Chandrapur,2011,Family Court,,,
Chandrapur,2011,Industrial Court,,,
Chandrapur,2011,Labor Court,,,
Chandrapur,2011,Public Court,,,
Chandrapur,2012,Civil Court*,334.0,31.0,635.0
Chandrapur,2012,Consumer Forum,21.0,,21.0
Chandrapur,2012,Criminal Court*,186.0,279.0,1365.0
