Year,District,Crime,Cases
2014,Kolhapur,Attempts to Commit Suicide,
2014,Latur,Attempts to Commit Suicide,
2014,Mumbai,Attempts to Commit Suicide,
2014,Nagpur,Attempts to Commit Suicide,
2014,Nanded,Attempts to Commit Suicide,
2014,Nandurbar,Attempts to Commit Suicide,
2014,Nashik,Attempts to Commit Suicide,
2014,Dharashiv,Attempts to Commit Suicide,
2014,Palghar,Attempts to Commit Suicide,
2014,Parbhani,Attempts to Commit Suicide,
2014,Pune,Attempts to Commit Suicide,
2014,Raigad,Attempts to Commit Suicide,
2014,Ratnagiri,Attempts to Commit Suicide,
2014,Sangli,Attempts to Commit Suicide,
2014,Satara,Attempts to Commit Suicide,
2014,Sindhudurg,Attempts to Commit Suicide,
2014,Solapur,Attempts to Commit Suicide,
2014,Thane,Attempts to Commit Suicide,
2014,Wardha,Attempts to Commit Suicide,
2014,Washim,Attempts to Commit Suicide,
2014,Yavatmal,Attempts to Commit Suicide,
2015,Ahilyanagar,Attempts to Commit Suicide,
2015,Akola,Attempts to Commit Suicide,
2015,Amravati,Attempts to Commit Suicide,
2015,Chh. Sambhaji Nagar,Attempts to Commit Suicide,
2015,Beed,Attempts to Commit Suicide,
2015,Bhandara,Attempts to Commit Suicide,
2015,Buldhana,Attempts to Commit Suicide,
2015,Chandrapur,Attempts to Commit Suicide,
2015,Dhule,Attempts to Commit Suicide,
2015,Gadchiroli,Attempts to Commit Suicide,
2015,Gondia,Attempts to Commit Suicide,
2015,Hingoli,Attempts to Commit Suicide,
2015,Jalgaon,Attempts to Commit Suicide,
2015,Jalna,Attempts to Commit Suicide,
2015,Kolhapur,Attempts to Commit Suicide,
2015,Latur,Attempts to Commit Suicide,
2015,Mumbai,Attempts to Commit Suicide,
2015,Nagpur,Attempts to Commit Suicide,
2015,Nanded,Attempts to Commit Suicide,
2015,Nandurbar,Attempts to Commit Suicide,
2015,Nashik,Attempts to Commit Suicide,
2015,Dharashiv,Attempts to Commit Suicide,
2015,Palghar,Attempts to Commit Suicide,
2015,Parbhani,Attempts to Commit Suicide,
2015,Pune,Attempts to Commit Suicide,
2015,Raigad,Attempts to Commit Suicide,
2015,Ratnagiri,Attempts to Commit Suicide,
2015,Sangli,Attempts to Commit Suicide,
2015,Satara,Attempts to Commit Suicide,
2015,Sindhudurg,Attempts to Commit Suicide,
2015,Solapur,Attempts to Commit Suicide,
2015,Thane,Attempts to Commit Suicide,
2015,Wardha,Attempts to Commit Suicide,
2015,Washim,Attempts to Commit Suicide,
2015,Yavatmal,Attempts to Commit Suicide,
2016,Ahilyanagar,Attempts to Commit Suicide,
2016,Akola,Attempts to Commit Suicide,
2016,Amravati,Attempts to Commit Suicide,
2016,Chh. Sambhaji Nagar,Attempts to Commit Suicide,
2016,Beed,Attempts to Commit Suicide,
2016,Bhandara,Attempts to Commit Suicide,
2016,Buldhana,Attempts to Commit Suicide,
2016,Chandrapur,Attempts to Commit Suicide,
2016,Dhule,Attempts to Commit Suicide,
2016,Gadchiroli,Attempts to Commit Suicide,
2016,Gondia,Attempts to Commit Suicide,
2016,Hingoli,Attempts to Commit Suicide,
2016,Jalgaon,Attempts to Commit Suicide,
2016,Jalna,Attempts to Commit Suicide,
2016,Kolhapur,Attempts to Commit Suicide,
2016,Latur,Attempts to Commit Suicide,
2016,Mumbai,Attempts to Commit Suicide,
2016,Nagpur,Attempts to Commit Suicide,
2016,Nanded,Attempts to Commit Suicide,
2016,Nandurbar,Attempts to Commit Suicide,
2016,Nashik,Attempts to Commit Suicide,
2016,Dharashiv,Attempts to Commit Suicide,
2016,Palghar,Attempts to Commit Suicide,
2016,Parbhani,Attempts to Commit Suicide,
2016,Pune,Attempts to Commit Suicide,
2016,Raigad,Attempts to Commit Suicide,
2016,Ratnagiri,Attempts to Commit Suicide,
2016,Sangli,Attempts to Commit Suicide,
2016,Satara,Attempts to Commit Suicide,
2016,Sindhudurg,Attempts to Commit Suicide,
2016,Solapur,Attempts to Commit Suicide,
2016,Thane,Attempts to Commit Suicide,
2016,Wardha,Attempts to Commit Suicide,
2016,Washim,Attempts to Commit Suicide,
2016,Yavatmal,Attempts to Commit Suicide,
2017,Ahilyanagar,Attempts to Commit Suicide,122.0
2017,Akola,Attempts to Commit Suicide,60.0
2017,Amravati,Attempts to Commit Suicide,99.0
2017,Chh. Sambhaji Nagar,Attempts to Commit Suicide,135.0
2017,Beed,Attempts to Commit Suicide,105.0
2017,Bhandara,Attempts to Commit Suicide,22.0
2017,Buldhana,Attempts to Commit Suicide,53.0
2017,Chandrapur,Attempts to Commit Suicide,33.0
