Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
2011,Hingoli,Born Outside India,290,164,126,244,140,104,46,24,22
2011,Hingoli,Unclassifiable,246,91,155,183,66,117,63,25,38
2011,Parbhani,Born within India,1834750,942214,892536,1265539,651533,614006,569211,290681,278530
2011,Parbhani,Born Outside India,703,353,350,289,134,155,414,219,195
2011,Parbhani,Unclassifiable,633,303,330,452,219,233,181,84,97
2011,Jalna,Born within India,1958365,1011189,947176,1581239,817150,764089,377126,194039,183087
2011,Jalna,Born Outside India,554,232,322,273,88,185,281,144,137
2011,Jalna,Unclassifiable,127,52,75,105,41,64,22,11,11
2011,Chhatrapati Sambhaji Nagar,Born within India,3698881,1923242,1775639,2080426,1081503,998923,1618455,841739,776716
2011,Chhatrapati Sambhaji Nagar,Born Outside India,2232,1147,1085,616,289,327,1616,858,758
2011,Chhatrapati Sambhaji Nagar,Unclassifiable,169,80,89,70,33,37,99,47,52
2011,Nashik,Born within India,6100191,3153519,2946672,3507815,1803751,1704064,2592376,1349768,1242608
2011,Nashik,Born Outside India,6385,3368,3017,1736,837,899,4649,2531,2118
2011,Nashik,Unclassifiable,611,299,312,263,124,139,348,175,173
2011,Thane,Born within India,11011916,5839238,5172678,2542390,1298601,1243789,8469526,4540637,3928889
2011,Thane,Born Outside India,42433,22794,19639,2414,1250,1164,40019,21544,18475
2011,Thane,Unclassifiable,5799,3046,2753,666,285,381,5133,2761,2372
2011,Mumbai Suburban,Born within India,9285253,4992442,4292811,0,0,0,9285253,4992442,4292811
2011,Mumbai Suburban,Born Outside India,57605,31181,26424,0,0,0,57605,31181,26424
2011,Mumbai Suburban,Unclassifiable,14104,7700,6404,0,0,0,14104,7700,6404
2011,Mumbai City,Born within India,3063943,1673221,1390722,0,0,0,3063943,1673221,1390722
2011,Mumbai City,Born Outside India,19126,10044,9082,0,0,0,19126,10044,9082
2011,Mumbai City,Unclassifiable,2342,1343,999,0,0,0,2342,1343,999
2011,Raigad,Born within India,2628587,1341402,1287185,1661799,835891,825908,966788,505511,461277
2011,Raigad,Born Outside India,4878,2574,2304,1902,969,933,2976,1605,1371
2011,Raigad,Unclassifiable,735,369,366,304,136,168,431,233,198
2011,Pune,Born within India,9393094,4905106,4487988,3673072,1900990,1772082,5720022,3004116,2715906
2011,Pune,Born Outside India,35461,18587,16874,5002,2372,2630,30459,16215,14244
2011,Pune,Unclassifiable,853,412,441,152,78,74,701,334,367
2011,Ahilyanagar,Born within India,4532939,2338843,2194096,3623604,1870282,1753322,909335,468561,440774
2011,Ahilyanagar,Born Outside India,9332,3617,5715,6325,2358,3967,3007,1259,1748
2011,Ahilyanagar,Unclassifiable,888,365,523,613,267,346,275,98,177
2011,Beed,Born within India,2584231,1348814,1235417,2070247,1082826,987421,513984,265988,247996
2011,Beed,Born Outside India,536,217,319,316,109,207,220,108,112
2011,Beed,Unclassifiable,282,75,207,188,43,145,94,32,62
2011,Latur,Born within India,2453065,1272574,1180491,1828580,949396,879184,624485,323178,301307
2011,Latur,Born Outside India,635,336,299,365,196,169,270,140,130
2011,Latur,Unclassifiable,496,230,266,271,115,156,225,115,110
2011,Dharashiv,Born within India,1655653,860516,795137,1374954,715399,659555,280699,145117,135582
2011,Dharashiv,Born Outside India,621,323,298,468,245,223,153,78,75
2011,Dharashiv,Unclassifiable,1302,696,606,1097,593,504,205,103,102
2011,Solapur,Born within India,4314670,2226463,2088207,2916759,1517548,1399211,1397911,708915,688996
2011,Solapur,Born Outside India,2621,1172,1449,1656,679,977,965,493,472
2011,Solapur,Unclassifiable,465,217,248,250,116,134,215,101,114
2011,Satara,Born within India,3001522,1509740,1491782,2431859,1219022,1212837,569663,290718,278945
2011,Satara,Born Outside India,1955,987,968,1309,634,675,646,353,293
2011,Satara,Unclassifiable,264,115,149,195,93,102,69,22,47
2011,Ratnagiri,Born within India,1613222,759984,853238,1349929,629301,720628,263293,130683,132610
2011,Ratnagiri,Born Outside India,1567,1008,559,1185,801,384,382,207,175
2011,Ratnagiri,Unclassifiable,280,129,151,232,111,121,48,18,30
2011,Sindhudurg,Born within India,847251,416017,431234,740657,362176,378481,106594,53841,52753
2011,Sindhudurg,Born Outside India,825,465,360,677,388,289,148,77,71
2011,Sindhudurg,Unclassifiable,1575,850,725,1311,704,607,264,146,118
2011,Kolhapur,Born within India,3872454,1978878,1893576,2644377,1347972,1296405,1228077,630906,597171
2011,Kolhapur,Born Outside India,1804,932,872,621,338,283,1183,594,589
2011,Kolhapur,Unclassifiable,1743,848,895,994,505,489,749,343,406
2011,Sangli,Born within India,2818320,1433783,1384537,2100141,1069755,1030386,718179,364028,354151
2011,Sangli,Born Outside India,1085,519,566,545,257,288,540,262,278
2011,Sangli,Unclassifiable,2738,1426,1312,2100,1112,988,638,314,324
